epoch,phase,loss,accuracy
0,val,0.6930145285346291,0.5393939393939394
1,train,0.33415726763695214,0.861525974025974
1,val,0.344749217134077,0.9287878787878788
2,train,0.20963017307274806,0.9222402597402597
2,val,0.1373966759921942,0.953030303030303
3,train,0.18806247491519534,0.936525974025974
3,val,0.10353342563453617,0.9651515151515152
4,train,0.1630589472732428,0.941720717307274806
4,val,0.22762087009085172,0.9265151515151515
5,train,0.1730517307274806,0.95172071730727480
5,val,0.15353342472732428,0.9651515779220779
